Piloto,ID,Equipe,teamcolor,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,,,,best,worst,sprintWin,sprintPodium,sprintPole,sprintTop10,sprintFL,sprintDNF,sprintEntries,sprintBest,sprintWorst,penalty,safetyRating,avgPos,totalEntries,totalWins,totalPodiums,totalPole,totalFL,totalDNF,###IGNORAR###,wccChampion,wdcChampion,,,,,,,
#,,,ff8000,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,McLaren,ff8000
#,,,ff8000,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,1,,,,,,,McLaren,ff8000
#,,,22cfb2ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Mercedes,22cfb2ff
#,,,22cfb2ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Mercedes,22cfb2ff
gunner,,Red Bull,3671c6,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Red Bull,3671c6
#,,,3671c6,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Red Bull,3671c6
hiran,,Ferrari,e80020,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Ferrari,e80020
tahariel,,Ferrari,e80020,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Ferrari,e80020
schuchter,,Racing Bulls,64c4ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Williams,64c4ff
#,,,64c4ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Williams,64c4ff
#,,,6692ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Racing Bulls,6692ff
#,,,6692ff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Racing Bulls,6692ff
#,,,229971,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Aston Martin,229971
#,,,229971,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Aston Martin,229971
#,,,a5a9acff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Haas,a5a9acff
#,,,a5a9acff,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Haas,a5a9acff
#,,,00ff00,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Sauber,00ff00
#,,,00ff00,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Sauber,00ff00
#,,,0093cc,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Alpine,0093cc
#,,,0093cc,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Alpine,0093cc
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Reserve,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,Reserve,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
#,,,,0,0,0,0,0,0,0,0,0,0,,,,P999,P0,0,0,0,0,0,0,0,P999,P0,0,,,0,0,0,0,0,0,,0,,,,,,,,
